DOI cattype cat T   log_conv    sel author  rxntype oxidant catalysis   single-site tag category
10.1016/S0920-5861(98)00095-9   empty-tube  -   773 -1.10   19.00   Taylor  gas O2  heterogeneous   yes None    Gas-phase
10.1016/S0920-5861(99)00243-6   FePO4/SiO2  Fe  873 -1.80   2.00    McCormick   gas O2  heterogeneous   no  None    Phosphate
10.1016/S0920-5861(99)00243-6   FePO4/SiO2  Fe  873 -1.77   1.00    McCormick   gas O2  heterogeneous   no  None    Phosphate
10.1016/S0920-5861(99)00243-6   FePO4/SiO2  Fe  873 -2.15   5.75    McCormick   gas O2  heterogeneous   no  None    Phosphate
10.1016/S0920-5861(99)00243-6   FePO4/SiO2  Fe  873 -1.95   4.37    McCormick   gas O2  heterogeneous   no  None    Phosphate
10.1016/S0920-5861(99)00243-6   FePO4/SiO2  Fe  873 -1.74   1.78    McCormick   gas O2  heterogeneous   no  None    Phosphate
10.1016/S0920-5861(99)00243-6   FePO4/SiO2  Fe  873 -1.61   1.62    McCormick   gas O2  heterogeneous   no  None    Phosphate
10.1016/S0920-5861(99)00243-6   FePO4/SiO2  Fe  873 -1.51   1.29    McCormick   gas O2  heterogeneous   no  None    Phosphate
10.1016/S0920-5861(99)00243-6   FePO4/SiO2  Fe  873 -1.48   1.12    McCormick   gas O2  heterogeneous   no  None    Phosphate
10.1006/jcat.1999.2786  V2O5/silicate   V   868 -1.52   0.70    Berndt  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2786  V2O5/silicate   V   897 -1.18   0.40    Berndt  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2786  V2O5/silicate   V   924 -1.03   0.30    Berndt  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2786  V2O5/silicate   V   868 -1.49   0.60    Berndt  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2786  V2O5/silicate   V   899 -1.27   0.20    Berndt  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2786  V2O5/silicate   V   906 -1.00   2.00    Berndt  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2786  V2O5/silicate   V   929 -0.96   0.20    Berndt  gas O2  heterogeneous   no  None    Oxide
10.1016/S0926-860X(03)00226-6   V2O5/silicate   V   873 -1.50   0.20    Fornes  gas O2  heterogeneous   no  None    Oxide
10.1016/S0926-860X(03)00226-6   V2O5/silicate   V   873 -1.85   0.20    Fornes  gas O2  heterogeneous   no  None    Oxide
10.1016/S0926-860X(03)00226-6   V2O5/silicate   V   873 -2.04   0.40    Fornes  gas O2  heterogeneous   no  None    Oxide
10.1016/S0926-860X(03)00226-6   V2O5/silicate   V   873 -1.74   0.40    Fornes  gas O2  heterogeneous   no  None    Oxide
10.1016/S0926-860X(03)00226-6   V2O5/silicate   V   873 -1.93   0.50    Fornes  gas O2  heterogeneous   no  None    Oxide
10.1016/S0926-860X(03)00226-6   V2O5/silicate   V   873 -2.24   0.80    Fornes  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2732  MoO3/silica Mo  773 -2.24   2.00    Sugino  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2732  MoO3/silica Mo  823 -1.92   1.00    Sugino  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2732  MoO3/silica Mo  873 -1.40   1.00    Sugino  gas O2  heterogeneous   no  None    Oxide
10.1006/jcat.1999.2732  MoO3/silica Mo  923 -1.18   0.00    Sugino  gas O2  heterogeneous   no  None    Oxide
